period;provision_netto_mnkr;ct_antal_milj;ct_varde_meur;foretag_inlaning_mnkr;kassa_inlaning_mnkr;cash_asset_kvot
2010Q1;49066,0;768,0;11528000,0;541704,6666666666;638916;0,06478250849152804
2010Q2;49066,0;768,0;11528000,0;530279,0;673619;0,07010533925146137
2010Q3;49066,0;768,0;11528000,0;536646,3333333334;694280;0,07078446391738809
2010Q4;49066,0;768,0;11528000,0;543685,6666666666;719654;0,0702378988771173
2011Q1;49960,0;831,0;12604000,0;535440,3333333334;695071;0,06729598932668769
2011Q2;49960,0;831,0;12604000,0;520268,3333333333;653672;0,06343747637490874
2011Q3;49960,0;831,0;12604000,0;518587,3333333333;729400;0,07411606632890036
2011Q4;49960,0;831,0;12604000,0;551470,6666666666;693203;0,06955374322839747
2012Q1;50905,0;859,0;13646000,0;566137,0;676418;0,06405486223031315
2012Q2;50905,0;859,0;13646000,0;546749,6666666666;650917;0,06381931516770688
2012Q3;50905,0;859,0;13646000,0;542237,0;636350;0,061607091684441576
2012Q4;50905,0;859,0;13646000,0;577801,6666666666;724482;0,06896335085112598
2013Q1;58345,0;894,0;14175000,0;573149,0;679841;0,06319331964754049
2013Q2;58345,0;894,0;14175000,0;574110,0;701291;0,06503977651181628
2013Q3;58345,0;894,0;14175000,0;570157,0;696668;0,06271677193011517
2013Q4;58345,0;894,0;14175000,0;611996,0;802901;0,0689289481562066
2014Q1;66906,0;957,0;14769000,0;612723,3333333334;705148;0,060192121950105655
2014Q2;66906,0;957,0;14769000,0;609200,0;735206;0,06287614091427081
2014Q3;66906,0;957,0;14769000,0;598999,6666666666;708166;0,06131197475508448
2014Q4;66906,0;957,0;14769000,0;630153,6666666666;826780;0,06991414507806634
2015Q1;71892,0;1074,0;13042442,0;635339,3333333334;744707;0,05630323410539183
2015Q2;71892,0;1074,0;13042442,0;639065,0;777165;0,06046924912281794
2015Q3;71892,0;1074,0;13042442,0;654348,3333333334;778489;0,06193066833323641
2015Q4;71892,0;1074,0;13042442,0;693317,0;846966;0,06567696986089261
2016Q1;66803,0;1303,0;14561300,0;714595,0;883046;0,06979235839567818
2016Q2;66803,0;1303,0;14561300,0;723762,3333333334;852437;0,06796427836494484
2016Q3;66803,0;1303,0;14561300,0;743963,6666666666;881596;0,06533104970043621
2016Q4;66803,0;1303,0;14561300,0;779294,0;971711;0,07057629391131107
2017Q1;88861,0;1303,4811;16191149,536;810615,6666666666;1072599;0,07603872065973824
2017Q2;88861,0;1303,4811;16191149,536;822468,6666666666;1042714;0,07324994552165527
2017Q3;88861,0;1303,4811;16191149,536;821754,0;1015690;0,07136472808028396
2017Q4;88861,0;1303,4811;16191149,536;837010,6666666666;1038022;0,07210522082137914
2018Q1;68150,0;1466,6052;18231583,7915;864770,0;1127194;0,07608738134149544
2018Q2;68150,0;1466,6052;18231583,7915;870115,3333333334;1120825;0,07423770119422138
2018Q3;68150,0;1466,6052;18231583,7915;873931,3333333334;1129229;0,07224995436507568
2018Q4;68150,0;1466,6052;18231583,7915;904047,3333333334;1192740;0,07887986022060754
2019Q1;77803,0;1497,733;18425921,4;935662,3333333334;1206303;0,07427487509439036
2019Q2;77803,0;1497,733;18425921,4;941796,3333333334;1236624;0,07550569239958918
2019Q3;77803,0;1497,733;18425921,4;958090,6666666666;1279405;0,07660109676727152
2019Q4;77803,0;1497,733;18425921,4;977835,0;1303685;0,07568100920628824
2020Q1;77556,0;1725,763;18674162,254;1005324,6666666666;1408793;0,08251358672494578
2020Q2;77556,0;1725,763;18674162,254;1139742,6666666667;1566997;0,08780047838185033
2020Q3;77556,0;1725,763;18674162,254;1183235,3333333333;1595717;0,08558695981215587
2020Q4;77556,0;1725,763;18674162,254;1247592,3333333333;1702312;0,0887140133748083
2021Q1;88088,0;1918,051;21849539,396;1258873,3333333333;1746818;0,0841218147221194
2021Q2;88088,0;1918,051;21849539,396;1309172,6666666667;1897324;0,08951533154175977
2021Q3;88088,0;1918,051;21849539,396;1358298,3333333333;1959823;0,09180918753804453
2021Q4;88088,0;1918,051;21849539,396;1416119,3333333333;1979192;0,08531908354035969
2022Q1;91828,0;;;1454357,3333333333;2090014;0,09275683997226722
2022Q2;91828,0;;;1435474,3333333333;2071715;0,09767542930767825
2022Q3;91828,0;;;1412886,0;2135350;0,098502649932787
2022Q4;91828,0;;;1375113,3333333333;2010895;0,0884173082202755
2023Q1;99804,0;;;1346058,6666666667;1889763;0,09012331990136697
2023Q2;99804,0;;;1288361,0;1831167;0,08453496529258249
2023Q3;99804,0;;;1294957,3333333333;1787966;0,08486775377934495
2023Q4;99804,0;;;1301583,3333333333;1810191;0,08267584049393466
2024Q1;106929,0;;;1275411,0;1738770;0,07159133636008345
2024Q2;106929,0;;;1247834,6666666667;1786213;0,07391323976271631
2024Q3;106929,0;;;1241528,0;1748411;0,07052448443513769
2024Q4;106929,0;;;1281210,3333333333;1831914;0,07455733573621093
2025Q1;106929,0;;;1289846,3333333333;1767525;0,0749894072331362
2025Q2;106929,0;;;1268544,6666666667;1798787;0,07742930607636768
2025Q3;106929,0;;;1276861,3333333333;1821454;0,07796151783929986
2025Q4;106929,0;;;1298289,3333333333;1806459;0,07605440255100634
